scenario,replication,seed,average_driving_time,scenario_mean,scenario_std,standard_error,ci_95_lower,ci_95_upper
3,1,1608637542,2370.6432318992656,2379.7826610217526,5.8263568507143395,1.8424558109182947,2376.1714476323527,2383.3938744111524
3,2,1273642419,2384.3308746048474,2379.7826610217526,5.8263568507143395,1.8424558109182947,2376.1714476323527,2383.3938744111524
3,3,1935803228,2385.5801047120417,2379.7826610217526,5.8263568507143395,1.8424558109182947,2376.1714476323527,2383.3938744111524
3,4,787846414,2382.0609243697477,2379.7826610217526,5.8263568507143395,1.8424558109182947,2376.1714476323527,2383.3938744111524
3,5,996406378,2382.9706190975867,2379.7826610217526,5.8263568507143395,1.8424558109182947,2376.1714476323527,2383.3938744111524
3,6,1201263687,2372.1306165099268,2379.7826610217526,5.8263568507143395,1.8424558109182947,2376.1714476323527,2383.3938744111524
3,7,423734972,2381.2703549060543,2379.7826610217526,5.8263568507143395,1.8424558109182947,2376.1714476323527,2383.3938744111524
3,8,415968276,2386.3427377220482,2379.7826610217526,5.8263568507143395,1.8424558109182947,2376.1714476323527,2383.3938744111524
3,9,670094950,2372.816561844864,2379.7826610217526,5.8263568507143395,1.8424558109182947,2376.1714476323527,2383.3938744111524
3,10,1914837113,2379.680584551148,2379.7826610217526,5.8263568507143395,1.8424558109182947,2376.1714476323527,2383.3938744111524
